equipe;journee;position;buts marqués;buts encaissés;DDB;Nombre de MJ;Nombre de victoire;Nombre de defaite;Nombre Null;Nombre de points
Aigle royal;J1;6;0;0;0;1;0;0;1;1
Aigle royal;J2;11;1;1;0;2;0;0;2;2
Aigle royal;J3;12;0;2;-2;3;0;1;2;3
Aigle royal;J4;15;1;2;-1;4;0;2;2;3
Aigle royal;J5;15;1;2;-1;5;0;3;2;3
Aigle royal;J6;15;1;1;0;6;0;3;3;6
Aigle royal;J7;14;1;0;1;7;1;3;3;6
Aigle royal;J8;15;0;1;-1;8;1;4;3;6
Aigle royal;J9;13;2;0;2;9;2;4;3;9
Aigle royal;J10;13;1;1;0;10;2;4;4;10
Aigle royal;J11;14;0;1;-1;11;2;5;4;10
Aigle royal;J12;14;0;1;-1;12;2;6;4;10
Aigle royal;J13;12;2;0;2;13;3;6;4;13
Aigle royal;J14;11;0;0;0;14;3;6;5;14
Aigle royal;J15;13;0;1;-1;15;3;7;5;14
Aigle royal;J16;11;1;0;1;16;4;7;5;17
Aigle royal;J17;11;1;0;1;17;5;7;5;20
Aigle royal;J18;10;2;1;1;18;6;7;5;23
Aigle royal;J19;11;0;1;-1;19;6;8;5;23
Aigle royal;J20;11;2;3;-1;20;6;9;5;23
