equipe;journee;position;buts marqués;buts encaissés;DDB;Nombre de MJ;Nombre de victoire;Nombre de defaite;Nombre Null;Nombre de points
Les astres;J1;12;3;4;-1;1;0;1;0;0
Les astres;J2;7;4;1;3;2;1;1;0;3
Les astres;J3;9;0;2;-2;3;1;2;0;3
Les astres;J4;7;2;0;2;4;2;2;0;6
Les astres;J5;9;0;1;-1;5;2;3;0;6
Les astres;J6;9;1;1;0;6;2;3;1;7
Les astres;J7;6;2;1;1;7;3;3;1;10
Les astres;J8;9;0;1;-1;8;3;4;1;10
Les astres;J9;10;1;1;0;9;3;4;2;11
Les astres;J10;10;0;1;-1;10;3;5;2;11
Les astres;J11;8;1;0;1;11;4;5;2;14
Les astres;J12;8;3;1;2;12;5;5;2;17
Les astres;J13;6;3;1;2;13;6;5;2;20
Les astres;J14;5;2;0;2;14;7;5;2;23
Les astres;J15;5;0;0;0;15;7;5;3;24
Les astres;J16;5;1;1;0;16;7;5;4;25
Les astres;J17;7;0;3;-3;17;7;6;4;25
Les astres;J18;9;0;4;-4;18;7;7;4;25
Les astres;J19;9;1;2;-1;19;7;8;4;25
Les astres;J20;8;1;0;1;20;8;8;4;28
