equipe;journee;position;buts marqués;buts encaissés;DDB;Nombre de MJ;Nombre de victoire;Nombre de defaite;Nombre Null;Nombre de points
Bamboutos Fc;J1;15;0;2;-2;1;0;1;0;0
Bamboutos Fc;J2;13;0;0;0;2;0;1;1;1
Bamboutos Fc;J3;8;2;0;2;3;1;1;1;4
Bamboutos Fc;J4;10;0;0;0;4;1;1;2;5
Bamboutos Fc;J5;10;0;0;0;5;1;1;3;6
Bamboutos Fc;J6;11;0;0;0;6;1;1;4;7
Bamboutos Fc;J7;13;2;1;1;7;1;2;4;7
Bamboutos Fc;J8;14;0;2;-2;8;1;3;4;7
Bamboutos Fc;J9;15;1;4;-3;9;1;4;4;7
Bamboutos Fc;J10;15;2;1;1;10;2;4;4;10
Bamboutos Fc;J11;11;1;0;1;11;3;4;4;13
Bamboutos Fc;J12;9;1;0;1;12;4;4;4;16
Bamboutos Fc;J13;10;0;2;-2;13;4;5;4;16
Bamboutos Fc;J14;11;0;1;-1;14;4;6;4;16
Bamboutos Fc;J15;10;0;0;0;15;4;6;5;17
Bamboutos Fc;J16;12;0;2;-2;16;4;7;5;17
Bamboutos Fc;J17;13;0;1;-1;17;4;8;5;17
Bamboutos Fc;J18;13;1;2;-1;18;4;9;5;17
Bamboutos Fc;J19;14;0;1;-1;19;4;10;5;17
