equipe;journee;position;buts marqués;buts encaissés;DDB;Nombre de MJ;Nombre de victoire;Nombre de defaite;Nombre Null;Nombre de points
Bamenda;J1;4;1;0;1;1;1;0;0;3
Bamenda;J2;9;0;1;-1;2;1;1;0;3
Bamenda;J3;11;0;4;-4;3;1;2;0;3
Bamenda;J4;8;3;1;2;4;2;2;0;6
Bamenda;J5;13;1;3;-2;5;2;3;0;6
Bamenda;J6;13;0;0;0;6;2;3;1;7
Bamenda;J7;11;0;0;0;7;2;3;2;8
Bamenda;J8;12;1;1;0;8;2;4;3;9
Bamenda;J9;12;1;1;0;9;2;4;4;10
Bamenda;J10;11;1;1;0;10;2;3;5;11
Bamenda;J11;12;3;0;3;11;3;3;5;11
Bamenda;J12;12;0;2;-2;12;3;4;5;11
Bamenda;J13;14;1;2;-1;13;3;5;5;11
Bamenda;J14;15;0;0;0;14;3;5;6;12
Bamenda;J15;11;2;0;2;15;4;5;6;15
Bamenda;J16;10;2;2;0;16;4;5;7;18
Bamenda;J17;10;2;1;1;17;5;5;7;21
Bamenda;J18;11;1;1;0;18;5;5;8;22
Bamenda;J19;10;0;0;0;19;5;5;9;23
Bamenda;J20;10;0;2;-2;20;5;6;9;24
