equipe;journee;position;buts marqués;buts encaissés;DDB;Nombre de MJ;Nombre de victoire;Nombre de defaite;Nombre Null;Nombre de points
Canon yaounde;J1;2;2;0;2;1;1;0;0;3
Canon yaounde;J2;2;1;1;0;2;1;0;1;4
Canon yaounde;J3;3;1;1;0;3;1;0;2;5
Canon yaounde;J4;1;3;1;2;4;2;0;2;8
Canon yaounde;J5;4;0;2;-2;5;2;1;2;8
Canon yaounde;J6;4;1;0;1;6;3;1;2;11
Canon yaounde;J7;4;1;1;0;7;3;1;3;12
Canon yaounde;J8;4;1;1;0;8;3;1;4;13
Canon yaounde;J9;3;1;0;1;9;4;1;4;16
Canon yaounde;J10;4;2;2;0;10;4;1;5;17
Canon yaounde;J11;4;2;0;2;11;5;1;5;17
Canon yaounde;J12;7;0;1;-1;12;5;2;5;17
Canon yaounde;J13;8;0;2;-2;13;5;3;5;17
Canon yaounde;J14;9;0;2;-2;14;5;4;5;17
Canon yaounde;J15;7;1;0;1;15;6;4;5;23
Canon yaounde;J16;4;2;0;2;16;7;4;5;26
Canon yaounde;J17;6;0;2;-2;17;7;5;5;26
Canon yaounde;J18;7;1;1;0;18;7;5;6;27
Canon yaounde;J19;5;1;0;1;19;8;5;6;30
Canon yaounde;J20;7;0;2;-2;20;8;6;6;30
