equipe;journee;position;buts marqués;buts encaissés;DDB;Nombre de MJ;Nombre de victoire;Nombre de defaite;Nombre Null;Nombre de points
Colombe;J1;7;0;0;0;1;0;0;1;1
Colombe;J2;10;0;0;0;2;0;0;2;2
Colombe;J3;6;2;1;1;3;1;0;2;5
Colombe;J4;2;2;1;1;4;2;0;2;8
Colombe;J5;1;1;0;1;5;3;0;2;11
Colombe;J6;1;1;0;1;6;4;0;2;14
Colombe;J7;1;2;1;1;7;5;0;2;17
Colombe;J8;1;1;0;1;8;6;0;2;20
Colombe;J9;2;0;1;-1;9;6;1;2;20
Colombe;J10;1;1;1;0;10;6;1;3;21
Colombe;J11;1;2;1;1;11;7;1;3;24
Colombe;J12;1;2;0;2;12;8;1;3;27
Colombe;J13;1;3;2;1;13;9;1;3;30
Colombe;J14;1;0;0;0;14;9;1;4;31
Colombe;J15;1;3;0;3;15;10;1;4;34
Colombe;J16;1;2;0;2;16;11;1;4;37
Colombe;J17;1;1;1;0;17;11;1;5;38
Colombe;J18;1;2;0;2;18;12;1;5;41
Colombe;J19;1;1;0;1;19;13;1;5;44
