equipe;journee;position;buts marqués;buts encaissés;DDB;Nombre de MJ;Nombre de victoire;Nombre de defaite;Nombre Null;Nombre de points
Coton sport fc;J1;8;0;0;0;1;0;0;1;1
Coton sport fc;J2;6;2;1;1;2;1;0;1;4
Coton sport fc;J3;5;0;0;0;3;1;0;2;5
Coton sport fc;J4;13;0;3;-3;4;1;1;2;5
Coton sport fc;J5;6;2;1;1;5;2;1;2;8
Coton sport fc;J6;7;1;1;0;6;2;1;3;9
Coton sport fc;J7;8;1;1;0;7;2;1;4;10
Coton sport fc;J8;6;2;0;2;8;3;1;4;13
Coton sport fc;J9;4;4;1;3;9;4;1;4;16
Coton sport fc;J10;3;3;0;3;10;5;1;4;19
Coton sport fc;J11;3;3;3;0;11;5;1;5;20
Coton sport fc;J12;3;2;0;2;12;6;1;5;23
Coton sport fc;J13;3;1;0;1;14;7;1;5;27
Coton sport fc;J14;3;0;0;0;15;7;1;6;27
Coton sport fc;J15;3;0;2;-2;16;7;2;6;27
Coton sport fc;J16;3;0;2;-2;17;7;3;6;27
Coton sport fc;J17;4;0;1;-1;18;7;4;6;27
Coton sport fc;J18;3;1;0;1;19;8;4;6;30
Coton sport fc;J19;3;2;0;2;20;9;4;6;33
Coton sport fc;J20;2;3;2;1;21;10;4;6;36
