equipe;journee;position;buts marqués;buts encaissés;DDB;Nombre de MJ;Nombre de victoire;Nombre de defaite;Nombre Null;Nombre de points
Dynamo douala;J1;9;0;0;0;1;0;0;1;1
Dynamo douala;J2;5;1;0;1;2;1;0;1;4
Dynamo douala;J3;7;1;2;-1;3;1;1;1;4
Dynamo douala;J4;9;0;0;0;4;1;1;2;5
Dynamo douala;J5;5;2;0;2;5;2;1;2;8
Dynamo douala;J6;3;1;0;1;6;3;1;2;11
Dynamo douala;J7;5;0;1;-1;7;3;2;2;11
Dynamo douala;J8;7;1;1;0;8;3;2;3;12
Dynamo douala;J9;9;0;2;-2;9;3;3;3;12
Dynamo douala;J10;9;0;1;-1;10;3;4;3;12
Dynamo douala;J11;10;0;0;0;11;3;4;4;13
Dynamo douala;J12;11;1;3;-2;12;3;5;4;13
Dynamo douala;J13;11;0;1;-1;13;3;6;4;13
Dynamo douala;J14;13;2;3;-1;14;3;7;4;13
Dynamo douala;J15;12;0;0;0;15;3;7;5;14
Dynamo douala;J16;15;0;4;-4;16;3;8;5;14
Dynamo douala;J17;15;2;1;-1;17;3;9;5;14
Dynamo douala;J18;15;0;2;-2;18;3;10;5;14
Dynamo douala;J19;13;1;0;1;19;4;10;5;17
Dynamo douala;J20;13;2;0;2;20;5;10;5;20
