equipe;journee;position;buts marqués;buts encaissés;DDB;Nombre de MJ;Nombre de victoire;Nombre de defaite;Nombre Null;Nombre de points
fauve azur;J1;10;0;0;0;1;0;0;1;1
fauve azur;J2;3;2;0;2;2;1;0;1;4
fauve azur;J3;4;0;0;0;3;1;0;2;5
fauve azur;J4;12;1;3;-2;4;1;1;2;5
fauve azur;J5;11;0;0;0;5;1;1;3;6
fauve azur;J6;6;2;1;1;6;2;1;3;9
fauve azur;J7;7;1;1;0;7;2;1;4;10
fauve azur;J8;5;2;1;1;8;3;1;4;13
fauve azur;J9;7;0;2;-2;9;3;2;4;13
fauve azur;J10;6;1;0;1;10;4;2;4;16
fauve azur;J11;6;0;3;-3;11;4;3;4;16
fauve azur;J12;5;2;1;1;12;5;3;4;19
fauve azur;J13;7;2;3;-1;13;5;4;4;19
fauve azur;J14;7;1;0;1;14;6;4;4;22
fauve azur;J15;8;0;2;-2;15;6;5;4;22
fauve azur;J16;7;4;0;4;16;7;5;4;25
fauve azur;J17;8;0;1;-1;17;7;6;4;25
fauve azur;J18;8;0;1;-1;18;7;7;4;25
fauve azur;J19;8;0;1;-1;19;7;8;4;25
