equipe;journee;position;buts marqués;buts encaissés;DDB;Nombre de MJ;Nombre de victoire;Nombre de defaite;Nombre Null;Nombre de points
Fortuna mfou;J1;5;2;1;1;1;1;0;0;3
Fortuna mfou;J2;8;1;2;-1;2;1;1;0;3
Fortuna mfou;J3;10;1;2;-1;3;1;2;0;3
Fortuna mfou;J4;14;0;2;-2;4;1;3;0;3
Fortuna mfou;J5;12;2;0;2;5;2;3;0;6
Fortuna mfou;J6;14;0;1;-1;6;2;4;0;6
Fortuna mfou;J7;15;1;3;-2;7;2;5;0;6
Fortuna mfou;J8;11;1;0;1;8;3;5;0;9
Fortuna mfou;J9;11;0;2;-2;9;3;6;0;9
Fortuna mfou;J10;14;2;2;0;10;3;6;1;10
Fortuna mfou;J11;15;1;2;-1;11;3;7;1;10
Fortuna mfou;J12;15;0;1;-1;12;3;8;1;10
Fortuna mfou;J13;13;2;1;1;13;4;8;1;13
Fortuna mfou;J14;14;0;1;-1;14;4;9;1;13
Fortuna mfou;J15;14;0;0;0;15;4;9;2;14
Fortuna mfou;J16;14;2;3;-1;16;4;10;2;14
Fortuna mfou;J17;12;1;0;1;17;5;10;2;17
Fortuna mfou;J18;12;0;2;-2;18;5;11;2;17
Fortuna mfou;J19;12;2;1;1;19;6;11;2;20
Fortuna mfou;J20;12;0;0;0;20;6;11;3;21
