equipe;journee;position;buts marqués;buts encaissés;DDB;Nombre de MJ;Nombre de victoire;Nombre de defaite;Nombre Null;Nombre de points
Gazelle;J1;13;1;2;-1;1;0;1;0;0
Gazelle;J2;12;0;0;0;2;0;1;1;1
Gazelle;J3;14;4;0;4;3;1;1;1;4
Gazelle;J4;3;3;0;3;4;2;1;1;7
Gazelle;J5;2;1;0;1;5;3;1;1;10
Gazelle;J6;2;1;1;0;6;3;1;2;11
Gazelle;J7;2;4;1;3;7;4;1;2;14
Gazelle;J8;2;2;0;2;8;5;1;2;17
Gazelle;J9;1;3;1;2;9;6;1;2;20
Gazelle;J10;2;1;2;-1;10;6;2;2;20
Gazelle;J11;2;3;3;0;11;6;2;3;21
Gazelle;J12;2;1;0;1;12;7;2;3;24
Gazelle;J13;2;1;2;-1;13;7;3;3;27
Gazelle;J14;2;3;2;1;14;8;3;3;27
Gazelle;J15;2;2;0;2;15;9;3;3;30
Gazelle;J16;2;3;2;1;16;10;3;3;33
Gazelle;J17;2;1;1;0;17;10;3;4;34
Gazelle;J18;2;1;1;0;18;10;3;5;35
Gazelle;J19;2;3;0;3;19;11;3;5;38
Gazelle;J20;3;0;1;-1;20;11;4;5;38
