equipe;journee;position;buts marqués;buts encaissés;DDB;Nombre de MJ;Nombre de victoire;Nombre de defaite;Nombre Null;Nombre de points
Penthere;J1;14;0;1;-1;1;0;1;0;0
Penthere;J2;16;0;2;-2;2;0;2;0;0
Penthere;J3;16;2;1;1;3;1;2;0;3
Penthere;J4;6;4;0;4;4;2;2;0;6
Penthere;J5;7;1;1;0;5;2;2;1;7
Penthere;J6;10;0;1;-1;6;2;3;1;7
Penthere;J7;12;1;2;0;7;2;4;1;7
Penthere;J8;8;2;0;2;8;3;4;1;10
Penthere;J9;6;2;1;3;9;4;4;1;13
Penthere;J10;5;1;0;4;10;5;4;1;16
Penthere;J11;5;0;0;0;11;5;4;2;17
Penthere;J12;4;1;0;1;12;6;4;2;20
Penthere;J13;4;2;1;1;13;7;4;2;24
Penthere;J14;4;0;0;0;14;7;4;3;24
Penthere;J15;6;0;3;-3;15;7;5;3;24
Penthere;J16;8;2;2;0;16;7;5;4;24
Penthere;J17;5;1;0;1;17;8;5;4;27
Penthere;J18;4;2;0;2;18;9;5;4;30
Penthere;J19;4;1;1;0;19;9;6;4;31
Penthere;J20;4;1;0;1;20;10;6;4;35
