equipe;journee;position;buts marqués;buts encaissés;DDB;Nombre de MJ;Nombre de victoire;Nombre de defaite;Nombre Null;Nombre de points
Stade renard;J1;11;0;0;0;1;0;0;1;1
Stade renard;J2;14;1;4;-3;2;0;1;1;1
Stade renard;J3;13;1;1;0;3;0;1;2;2
Stade renard;J4;11;3;0;3;4;1;1;2;5
Stade renard;J5;14;0;1;-1;5;1;2;2;5
Stade renard;J6;8;1;0;1;6;2;2;2;8
Stade renard;J7;9;1;1;0;7;2;2;3;9
Stade renard;J8;10;0;2;-2;8;2;3;3;9
Stade renard;J9;8;2;0;2;9;3;3;3;12
Stade renard;J10;8;0;1;-1;10;3;4;3;12
Stade renard;J11;7;1;0;1;11;4;4;3;13
Stade renard;J12;6;2;0;2;12;5;4;3;18
Stade renard;J13;5;2;0;2;13;6;4;3;21
Stade renard;J14;6;1;1;0;14;6;4;4;22
Stade renard;J15;4;2;1;1;15;7;4;4;25
Stade renard;J16;5;0;1;-1;16;7;5;4;25
Stade renard;J17;3;3;0;-3;17;8;5;4;28
Stade renard;J18;5;1;1;0;18;8;5;5;29
Stade renard;J19;6;0;2;-2;19;8;6;5;29
Stade renard;J20;5;2;0;2;20;9;6;5;32
