equipe;journee;position;buts marqués;buts encaissés;DDB;Nombre de MJ;Nombre de victoire;Nombre de defaite;Nombre Null;Nombre de points
Union douala;J1;3;4;3;1;1;1;0;0;3
Union douala;J2;4;1;1;0;2;1;0;1;4
Union douala;J3;2;3;1;2;3;2;0;1;7
Union douala;J4;5;0;3;-3;4;2;1;1;7
Union douala;J5;8;0;2;-2;5;2;2;1;7
Union douala;J6;12;0;1;-1;6;2;3;1;7
Union douala;J7;10;0;0;0;7;2;3;2;8
Union douala;J8;13;0;2;-2;8;2;4;2;8
Union douala;J9;14;1;2;-1;9;2;5;2;8
Union douala;J10;12;1;0;1;10;3;5;2;11
Union douala;J11;13;0;1;-1;11;3;6;2;11
Union douala;J12;13;1;2;-1;12;3;7;2;11
Union douala;J13;15;1;2;-1;13;3;8;2;11
Union douala;J14;12;1;0;1;14;4;8;2;14
Union douala;J15;15;0;1;-1;15;4;9;2;14
Union douala;J16;13;1;1;0;16;4;9;3;15
Union douala;J17;14;0;1;-1;17;4;10;3;15
Union douala;J18;14;1;1;0;18;4;10;4;16
Union douala;J19;15;0;3;-3;19;4;11;4;16
Union douala;J20;15;0;0;0;21;4;11;5;17
