equipe;journee;position;buts marqués;buts encaissés;DDB;Nombre de MJ;Nombre de victoire;Nombre de defaite;Nombre Null;Nombre de points
Victoria united;J1;1;3;0;3;1;1;0;0;3
Victoria united;J2;1;1;1;0;2;1;0;1;4
Victoria united;J3;1;2;0;2;3;2;0;1;7
Victoria united;J4;4;0;4;-4;4;2;1;1;7
Victoria united;J5;3;3;1;2;5;3;1;1;10
Victoria united;J6;5;1;2;-1;6;3;2;1;10
Victoria united;J7;3;3;1;2;7;4;2;1;13
Victoria united;J8;3;1;1;0;8;4;2;2;14
Victoria united;J9;5;1;3;-2;9;4;3;2;14
Victoria united;J10;7;0;3;-3;10;4;4;2;14
Victoria united;J11;9;0;1;-1;11;4;5;2;14
Victoria united;J12;10;0;2;-2;12;4;6;2;14
Victoria united;J13;9;2;1;1;13;5;6;2;17
Victoria united;J14;8;1;1;0;14;5;6;3;18
Victoria united;J15;9;1;0;1;15;6;6;3;21
Victoria united;J16;9;1;2;-1;16;6;7;3;21
Victoria united;J17;9;2;0;2;17;7;7;3;24
Victoria united;J18;6;4;0;4;18;8;7;3;27
Victoria united;J19;7;1;1;0;19;8;7;4;28
Victoria united;J20;6;2;0;2;20;9;7;4;31
