equipe;journee;position;buts marqués;buts encaissés;DDB;Nombre de MJ;Nombre de victoire;Nombre de defaite;Nombre Null;Nombre de points
yong sport academy;J1;16;0;3;-3;1;0;1;0;0
yong sport academy;J2;15;0;0;0;2;0;1;1;1
yong sport academy;J3;15;1;3;-2;3;0;2;1;1
yong sport academy;J4;16;1;3;-2;4;0;3;1;1
yong sport academy;J5;16;1;1;0;5;0;3;2;2
yong sport academy;J6;16;0;1;-1;6;0;4;2;2
yong sport academy;J7;16;1;4;-3;7;0;5;2;2
yong sport academy;J8;16;0;2;-2;8;0;6;2;2
yong sport academy;J9;16;2;0;2;9;1;6;2;5
yong sport academy;J10;16;1;1;0;10;1;6;3;6
yong sport academy;J11;16;0;2;-2;11;1;7;3;6
yong sport academy;J12;16;0;2;-2;12;1;8;3;6
yong sport academy;J13;16;1;3;-2;13;1;9;3;6
yong sport academy;J14;16;0;0;0;14;1;9;4;7
yong sport academy;J15;16;1;2;-1;15;1;10;4;7
yong sport academy;J16;16;2;1;1;16;2;10;4;10
yong sport academy;J17;16;1;0;1;17;3;10;4;13
yong sport academy;J18;16;1;1;0;18;3;10;5;14
yong sport academy;J19;16;0;0;0;19;3;10;6;15
yong sport academy;J20;16;0;1;-1;20;3;11;6;15
